"numero","id_bling","dataVenda","dataPedido","qtde_itens","custo","totalVenda","taxaLoja","CMV"
"44051","21594650230","2024-11-18","2024-11-18","1","133.01","209","21.91","63.64"
"44121","21606343639","2024-11-20","2024-11-20","1","133.32","209.3","23.81","63.69"
"44163","21613965995","2024-11-21","2024-11-21","1","133.32","209.8","23.81","63.54"
"43544","21497021340","2024-11-06","2024-11-06","0","133.01","209.89","11.5","63.36"
"44002","21581946348","2024-11-17","2024-11-17","0","191.27","215.8","17.99","44.31"
"43310","21461095689","2024-11-01","2024-11-01","1","113.66","218","23.66","52.13"
"43369","21467974297","2024-11-02","2024-11-02","0","255.56","219.83","18","58.12"
"43657","21517957131","2024-11-08","2024-11-08","2","34.87","220","0","7.92"
"44253","21629832356","2024-11-23","2024-11-23","1","113.66","222.17","23.54","51.15"
"43962","21576502515","2024-11-16","2024-11-16","0","45.45","223.5","25.37","61"
"43304","21460199879","2024-11-01","2024-11-01","1","113.66","223.97","11.5","50.74"
"44237","21627633291","2024-11-23","2024-11-23","1","63.70","224.8","17.99","28.33"
"43507","21489398925","2024-11-05","2024-11-05","0","129.80","225.8","23.54","57.48"
"43778","21539569916","2024-11-11","2024-11-11","1","113.66","225.8","23.54","50.33"
"43886","21561835226","2024-11-13","2024-11-13","1","113.66","225.8","23.54","50.33"
"43913","21569702841","2024-11-14","2024-11-14","1","113.66","225.8","23.54","50.33"
"43915","21570281604","2024-11-14","2024-11-14","1","113.66","225.8","23.54","50.33"
"43979","21578626894","2024-11-16","2024-11-16","1","113.66","225.8","23.54","50.33"
"44118","21606191381","2024-11-20","2024-11-20","1","113.66","225.8","23.54","50.33"
"44188","21617968950","2024-11-21","2024-11-21","1","113.66","225.8","23.54","50.33"
"43938","21572976498","2024-11-15","2024-11-15","1","133.01","229","16.49","58.08"
"44062","21598227173","2024-11-19","2024-11-19","1","133.01","229.16","18","58.04"
"43946","21574112151","2024-11-15","2024-11-15","1","63.70","234.8","17.99","27.12"
"43398","21470446458","2024-11-03","2024-11-03","2","173.02","237.58","25.05","36.41"
"43721","21527127748","2024-11-10","2024-11-10","1","133.32","238","11.49","56.01"
"44086","21602365241","2024-11-19","2024-11-19","1","157.08","238.94","21.6","65.73"
"43438","21474610531","2024-11-04","2024-11-04","0","113.66","239.88","16.49","47.38"
"43331","21464083004","2024-11-01","2024-11-01","1","40.40","241.03","0","50.28"
"43603","21509793358","2024-11-07","2024-11-07","0","33.39","242.13","17.99","55.15"
"43964","21576752186","2024-11-16","2024-11-16","1","146.90","254.89","17.99","57.63"
"43996","21580738975","2024-11-17","2024-11-17","1","153.98","259.89","21.53","59.24"
"44144","21609547697","2024-11-21","2024-11-21","1","157.08","259.89","11.5","60.43"
"43714","21526199689","2024-11-10","2024-11-10","1","175.63","269.7","11.5","65.12"
"43803","21542277768","2024-11-11","2024-11-11","1","175.63","269.7","11.5","65.12"
"43806","21542521950","2024-11-11","2024-11-11","1","175.63","269.7","11.5","65.12"
"43993","21580618396","2024-11-17","2024-11-17","1","175.63","269.7","11.5","65.12"
"44195","21619842199","2024-11-22","2024-11-22","1","164.08","272.51","22.93","60.2"
